episode,steps,step_entities
18,7,"[{'attacker_node': '192.168.225.141', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
18,8,"[{'attacker_node': '192.168.75.117', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
18,9,"[{'attacker_node': '192.168.87.212', 'nifr_nodes': ['192.168.171.85', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
18,10,"[{'attacker_node': '192.168.73.158', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
18,11,"[{'attacker_node': '192.168.73.158', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
19,1,"[{'attacker_node': '192.168.180.124', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
19,2,"[{'attacker_node': '192.168.239.210', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
19,3,"[{'attacker_node': '192.168.179.211', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
19,4,"[{'attacker_node': '192.168.120.15', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
19,5,"[{'attacker_node': '192.168.126.240', 'nifr_nodes': ['192.168.126.240', '192.168.188.82'], 'nicr_nodes': ['192.168.110.61']}]"
19,6,"[{'attacker_node': '192.168.213.192', 'nifr_nodes': ['192.168.110.28', '192.168.190.122'], 'nicr_nodes': ['192.168.110.61']}]"
19,7,"[{'attacker_node': '192.168.87.212', 'nifr_nodes': ['192.168.110.28', '192.168.190.122'], 'nicr_nodes': ['192.168.110.61']}]"
19,8,"[{'attacker_node': '192.168.36.181', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
19,9,"[{'attacker_node': '192.168.36.181', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
20,1,"[{'attacker_node': '192.168.3.56', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
20,2,"[{'attacker_node': '192.168.87.212', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
20,3,"[{'attacker_node': '192.168.73.158', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
20,4,"[{'attacker_node': '192.168.54.250', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
20,5,"[{'attacker_node': '192.168.62.155', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
20,6,"[{'attacker_node': '192.168.62.155', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
21,1,"[{'attacker_node': '192.168.110.28', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
